嗚呼,ああ
概念,がいねん
開発,かいはつ
海抜,かいばつ
介抱,かいほう
解剖,かいぼう
外来,がいらい
外来,がいらい
回覧,かいらん
概略,がいりゃく
海流,かいりゅう
改良,かいりょう
回路,かいろ
海路,かいろ
顧みる,かえりみる
返る,かえる
顔つき,かおつき
課外,かがい
掲げる,かかげる
踵,かかと
係,かかり
書き取り,かきとり
書き取る,かきとる
掻き回す,かきまわす
佳句,かく
核,かく
格,かく
欠く,かく
画,かく
角,かく
学芸,がくげい
格差,かくさ
学士,がくし
各種,かくしゅ
隔週,かくしゅう
隔週,かくしゅう
確信,かくしん
革新,かくしん
学説,がくせつ
確定,かくてい
カクテル,カクテル
獲得,かくとく
楽譜,がくふ
確保,かくほ
革命,かくめい
確立,かくりつ
学歴,がくれき
学歴,がくれき
掛け,かけ
崖,がけ
駆け足,かけあし
家計,かけい
ヶ月,かげつ
駆けっこ,かけっこ
翔る,かける
賭ける,かける
駆ける,かける
駆ける,かける
加工,かこう
化合,かごう
化合,かごう
風車,かざぐるま
嵩張る,かさばる
嵩む,かさむ
畏まりました,かしこまりました
華奢,かしゃ
箇所,かしょ
箇条書き,かじょうがき
齧る,かじる
微か,かすか
化する,かする
掠る,かする
火星,かせい
化石,かせき
化石,かせき
化繊,かせん
河川,かせん
過疎,かそ
過多,かた
難い,かたい
課題,かだい
片思い,かたおもい
敵,かたき
片言,かたこと
傾く,かたむく
傾ける,かたむける
傾ける,かたむける
固める,かためる
偏る,かたよる
傍ら,かたわら
花壇,かだん
雅致,がち
家畜,かちく
且つ,かつ
画期,かっき
がっくり,がっくり
合唱,がっしょう
合唱,がっしょう
がっしり,がっしり
合致,がっち
がっちり,がっちり
嘗て,かつて
カット,カット
活発,かっぱつ
月日,がっぴ
合併,がっぺい
カテゴリー,カテゴリー
哉,かな
叶う,かなう
叶える,かなえる
金槌,かなづち
可也,かなり
加入,かにゅう
金蔵,かねぐら
予て,かねて
予て,かねて
華美,かび
下品,かひん
株式,かぶしき
株式,かぶしき
気触れる,かぶれる
貨幣,かへい
構え,かまえ
構える,かまえる
加味,かみ
噛み切る,かみきる
過密,かみつ
雷,かみなり
カムバック,カムバック
甕,かめ
カメラマン,カメラマン
かも知れない,かもしれない
痒い,かゆい
揶揄う,からかう
体,からだ
体つき,からだつき
絡む,からむ
下吏,かり
下吏,かり
仮,かり
借り,かり
借り,かり
がる,がる
歌留多,かるた
カルテ,カルテ
ガレージ,ガレージ
涸れる,かれる
過労,かろう
辛うじて,かろうじて
側,がわ
可愛い,かわいい
可愛がる,かわいがる
可哀想,かわいそう
可愛らしい,かわいらしい
替わる,かわる
代わる代わる,かわるがわる
管,かん
観,かん
館,かん
癌,がん
簡易,かんい
眼科,がんか
感慨,かんがい
眼球,がんきゅう
簡潔,かんけつ
簡潔,かんけつ
還元,かんげん
漢語,かんご
看護,かんご
頑固,がんこ
刊行,かんこう
慣行,かんこう
勧告,かんこく
監視,かんし
慣習,かんしゅう
観衆,かんしゅう
願書,がんしょ
干渉,かんしょう
頑丈,がんじょう
感触,かんしょく
歓声,かんせい
関税,かんぜい
岩石,がんせき
幹線,かんせん
感染,かんせん
簡素,かんそ
観点,かんてん
感度,かんど
カンニング,カンニング
元年,がんねん
幹部,かんぶ
完璧,かんぺき
勘弁,かんべん
冠,かんむり
感無量,かんむりょう
勧誘,かんゆう
関与,かんよ
関与,かんよ
寛容,かんよう
元来,がんらい
元来,がんらい
観覧,かんらん
官僚,かんりょう
慣例,かんれい
還暦,かんれき
貫禄,かんろく
緩和,かんわ
期,き
生,き
議案,ぎあん
黄色,きいろ
危害,きがい
企画,きかく
規格,きかく
着飾る,きかざる
気兼ね,きがね
気軽,きがる
季刊,きかん
危機,きき
聞き取り,ききとり
帰京,ききょう
戯曲,ぎきょく
基金,ききん
喜劇,きげき
喜劇,きげき
議決,ぎけつ
棄権,きけん
起源,きげん
既婚,きこん
気障,きざ
記載,きさい
兆し,きざし
兆し,きざし
気質,きしつ
期日,きじつ
議事堂,ぎじどう
軋む,きしむ
記述,きじゅつ
記述,きじゅつ
気象,きしょう
傷,きず
奇数,きすう
築く,きずく
傷つく,きずつく
規制,きせい
犠牲,ぎせい
汽船,きせん
偽造,ぎぞう
貴族,きぞく
議題,ぎだい
鍛える,きたえる
気立て,きだて
来る,きたる
きちっと,きちっと
几帳面,きちょうめん
切っ掛け,きっかけ
きっかり,きっかり
喫茶,きっさ
きっちり,きっちり
屹度,きっと
きっぱり,きっぱり
規定,きてい
起点,きてん
軌道,きどう
技能,ぎのう
甲,きのえ
軌範,きはん
気品,きひん
気風,きふう
起伏,きふく
規模,きぼ
規模,きぼ
気まぐれ,きまぐれ
生真面目,きまじめ
期末,きまつ
きまり悪い,きまりわるい
決まる,きまる
記名,きめい
規約,きやく
規約,きやく
逆転,ぎゃくてん
脚本,きゃくほん
客観,きゃっかん
キャッチ,キャッチ
キャリア,キャリア
休学,きゅうがく
究極,きゅうきょく
窮屈,きゅうくつ
球根,きゅうこん
救済,きゅうさい
旧事,きゅうじ
給仕,きゅうじ
給食,きゅうしょく
給食,きゅうしょく
休戦,きゅうせん
旧知,きゅうち
宮殿,きゅうでん
窮乏,きゅうぼう
寄与,きよ
行,ぎょう
驚異,きょうい
驚異,きょうい
教員,きょういん
教員,きょういん
教科,きょうか
協会,きょうかい
共学,きょうがく
共感,きょうかん
協議,きょうぎ
境遇,きょうぐう
教訓,きょうくん
強硬,きょうこう
強行,きょうこう
教材,きょうざい
業者,ぎょうしゃ
享受,きょうじゅ
教習,きょうしゅう
郷愁,きょうしゅう
教職,きょうしょく
興じる,きょうじる
供する,きょうする
行政,ぎょうせい
業績,ぎょうせき
共存,きょうぞん
協調,きょうちょう
協定,きょうてい
脅迫,きょうはく
業務,ぎょうむ
郷里,きょうり
強烈,きょうれつ
共和,きょうわ
共和,きょうわ
曲,きょく
玉,ぎょく
局限,きょくげん
極端,きょくたん
居住,きょじゅう
拒絶,きょぜつ
漁船,ぎょせん
漁村,ぎょそん
拒否,きょひ
許容,きょよう
清らか,きよらか
距離,きょり
気楽,きらく
煌びやか,きらびやか
切り,きり
桐,きり
切り替える,きりかえる
気流,きりゅう
綺麗,きれい
際,きわ
疑惑,ぎわく
疑惑,ぎわく
極めて,きわめて
近眼,きんがん
緊急,きんきゅう
近視,きんし
近視,きんし
禁じる,きんじる
禁ずる,きんずる
勤勉,きんべん
吟味,ぎんみ
吟味,ぎんみ
勤務,きんむ
禁物,きんもつ
禁物,きんもつ
勤労,きんろう
区,く
クイズ,クイズ
食い違う,くいちがう
空腹,くうふく
区間,くかん
茎,くき
茎,くき
区切り,くぎり
潜る,くぐる
くじ引き,くじびき
嚏,くしゃみ
擽ったい,くすぐったい
草臥れる,くたびれる
下らない,くだらない
件,くだん
愚痴,ぐち
口ずさむ,くちずさむ
朽ちる,くちる
覆す,くつがえす
