虫,むし
息子,むすこ
娘,むすめ
無理,むり
召し上がる,めしあがる
珍しい,めずらしい
申し上げる,もうしあげる
申す,もうす
もう直ぐ,もうすぐ
若し,もし
戻る,もどる
木綿,もめん
森,もり
焼く,やく
約束,やくそく
役に立つ,やくにたつ
焼ける,やける
優しい,やさしい
痩せる,やせる
やっと,やっと
止む,やむ
止める,やめる
柔らかい,やわらかい
湯,ゆ
指,ゆび
指輪,ゆびわ
夢,ゆめ
揺れる,ゆれる
用,よう
用意,ようい
用事,ようじ
汚れる,よごれる
予習,よしゅう
予定,よてい
予約,よやく
寄る,よる
喜ぶ,よろこぶ
理由,りゆう
利用,りよう
両方,りょうほう
旅館,りょかん
留守,るす
冷房,れいぼう
歴史,れきし
レジ,レジ
レポート,レポート
連絡,れんらく
ワープロ,ワープロ
沸かす,わかす
別れる,わかれる
沸く,わく
訳,わけ
忘れ物,わすれもの
笑う,わらう
割合,わりあい
割れる,われる
